NODE_9_length_9095_cov_1.230709	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; unclassified Paracoccaceae; Paracoccaceae bacterium; 
NODE_94_length_4361_cov_1.144544	Viruses; environmental samples; uncultured marine virus; 
NODE_162_length_3907_cov_1.651852	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; environmental samples; uncultured Mediterranean phage uvMED; 
NODE_245_length_3483_cov_1.390048	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eurybiavirus; Eurybiavirus PHM2; Prochlorococcus phage P-HM2; 
NODE_345_length_3110_cov_2.190748	Viruses; environmental samples; uncultured marine virus; 
NODE_498_length_2791_cov_1.234234	cellular organisms; Bacteria; 
NODE_597_length_2665_cov_1.317967	Viruses; environmental samples; uncultured marine virus; 
NODE_631_length_2623_cov_2.090946	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_892_length_2310_cov_5.343106	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; unclassified Candidatus Pelagibacter; Candidatus Pelagibacter sp. RS39; 
NODE_916_length_2290_cov_5.336570	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; 
NODE_1092_length_2159_cov_2.146654	Viruses; environmental samples; uncultured marine virus; 
NODE_1179_length_2101_cov_2.408815	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; unclassified Candidatus Pelagibacter; Candidatus Pelagibacter sp. FZCC0015; 
NODE_1296_length_2040_cov_1.905384	Viruses; environmental samples; uncultured marine virus; 
NODE_1379_length_2004_cov_0.732552	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; Candidatus Actinomarineae; Candidatus Actinomarinaceae; Candidatus Actinomarina; Candidatus Actinomarina minuta; 
NODE_1514_length_1939_cov_0.733444	cellular organisms; Bacteria; Pseudomonadota; unclassified Pseudomonadota; Pseudomonadota bacterium; 
NODE_1617_length_1897_cov_0.884746	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_1651_length_1883_cov_0.976082	
NODE_2068_length_1752_cov_1.049231	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; unclassified Candidatus Actinomarinales; Candidatus Actinomarinales bacterium; 
NODE_2123_length_1736_cov_1.055314	cellular organisms; Bacteria; unclassified Bacteria; bacterium HD9-500m-PIT-SAG08; 
NODE_2239_length_1707_cov_2.725949	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_2255_length_1703_cov_1.185914	cellular organisms; Bacteria; environmental samples; uncultured bacterium EIL26B11; 
NODE_2338_length_1684_cov_1.279383	Viruses; environmental samples; uncultured marine virus; 
