Contig	final_assembly.fasta/final_pure_reads_1.fastq RPKM
NODE_1_length_61149_cov_5.713218	66.97223
NODE_2_length_23794_cov_2.324798	34.398888
NODE_3_length_20224_cov_3.223615	42.919067
NODE_4_length_17233_cov_1.974687	32.552284
NODE_5_length_11390_cov_1.593714	23.265427
NODE_6_length_11099_cov_2.149107	28.239735
NODE_7_length_10737_cov_1.550141	28.362532
NODE_8_length_9483_cov_1.219111	22.38527
NODE_9_length_9095_cov_1.230709	16.017046
NODE_10_length_9039_cov_4.356261	83.5761
NODE_11_length_8695_cov_2.332283	34.122215
NODE_12_length_8460_cov_2.860674	47.36352
NODE_13_length_8460_cov_1.311052	18.5665
NODE_14_length_8364_cov_1.666019	38.581223
NODE_15_length_8176_cov_1.398807	25.48454
NODE_16_length_8007_cov_1.835025	22.241394
NODE_17_length_7739_cov_5.832633	74.09738
NODE_18_length_7541_cov_1.242244	41.705524
NODE_19_length_7475_cov_1.236663	23.395489
NODE_20_length_7344_cov_4.228211	71.48693
NODE_21_length_7233_cov_1.963693	32.155594
NODE_22_length_7190_cov_1.781679	28.43445
NODE_23_length_7035_cov_6.546613	102.11831
NODE_24_length_6885_cov_2.251702	29.33195
NODE_25_length_6790_cov_1.990545	67.72021
NODE_26_length_6674_cov_1.778830	54.96837
NODE_27_length_6666_cov_1.285059	18.861282
NODE_28_length_6372_cov_1.546197	23.476608
NODE_29_length_6356_cov_1.866752	31.717167
NODE_30_length_6287_cov_2.032143	27.193157
NODE_31_length_6080_cov_3.356963	69.30156
NODE_32_length_6061_cov_3.659420	87.265785
NODE_33_length_6040_cov_1.753763	23.292814
NODE_34_length_6034_cov_1.882174	35.357647
NODE_35_length_5954_cov_14.807448	556.21484
NODE_36_length_5909_cov_2.090453	39.903023
NODE_37_length_5815_cov_1.415084	20.212782
NODE_38_length_5792_cov_1.662312	30.00911
NODE_39_length_5775_cov_3.246990	58.96139
NODE_40_length_5722_cov_2.088829	34.671227
